subjID	acq	trial	stim_id	stim_pair	stim_text	mrl_prf	pos_no_con	trial_onset	read_RT	resp1_cat	resp2_cat	resp3_cat	resp1_RT	resp2_RT	resp3_RT	respAll_RT	resp1	resp2	resp3
1	1	1	001	000	February has the fewest days of all months.	fact	fact	0.0221249370006262	0.837925424999412	abt_pref	abt_morl	abt_fact	3.76898473399888	5.83686199399926	13.1736191159998	NaN	NaN	NaN	NaN
1	1	2	002	000	The Earth is smaller than the Sun.	fact	fact	15.1080479159991	0.588051218999681	abt_pref	abt_morl	abt_fact	5.55798945499919	4.12399927499973	2.55607395900006	6.19127280099929	0	0	100
1	1	3	030	051	A public pool should have multiple water slides.	prf	nocon	22.4308209299998	1.43076196100083	abt_pref	abt_morl	abt_fact	8.88068689799911	7.8466440430002	6.1801855929989	9.09810204699897	84.0000000000001	15.9999999999999	27.9999999999999
1	1	4	109	054	Nothing is less appealing than the smell of rotting fish.	prf	poscon	33.5023728649994	1.53685138000037	abt_pref	abt_morl	abt_fact	1.85464130599939	3.83879065300061	5.15688420100014	5.85678347499925	100	0	58
1	1	5	160	051	A car recall is the only acceptable option when a safety risk is found.	mrl	poscon	41.4409085579991	2.4950594339989	abt_pref	abt_morl	abt_fact	2.24563095700069	4.03049077700052	5.16453812299915	7.19862852599908	13.9999999999999	100	44
1	1	6	130	003	People should stretch before every workout.	prf	poscon	51.6776027640008	5.64155721399948	abt_pref	abt_morl	abt_fact	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	1	7	166	059	Teenagers who bully their classmates should be scolded.	mrl	poscon	66.7676971180008	4.68053855500148	abt_pref	abt_morl	abt_fact	NaN	NaN	NaN	1.4133199909993	50	50	50
1	1	8	032	072	An intern should greet everyone in the office.	prf	nocon	73.4042547629997	0.52740124400043	abt_pref	abt_morl	abt_fact	NaN	NaN	NaN	0.581038977999924	50	50	50
1	1	9	151	081	The deplorable conditions of Chinese electronics workers should not be ignored.	mrl	poscon	75.054569033	0.654922326000815	abt_pref	abt_morl	abt_fact	NaN	NaN	NaN	0.620612486000027	50	50	50
1	1	10	071	032	Employees should never fake sick day.	mrl	nocon	76.8721225739991	0.834143424001013	abt_pref	abt_morl	abt_fact	NaN	NaN	NaN	0.674231708000661	50	50	50
1	1	11	016	022	Green apples are too sour to be an enjoyable lunch time snack.	prf	nocon	78.9236828649991	0.592460719000883	abt_pref	abt_morl	abt_fact	NaN	NaN	NaN	1.57751774600001	50	50	50
1	1	12	106	064	Having a doctor listen attentively to your medical concerns is great.	prf	poscon	81.6412495820005	0.766781153999545	abt_pref	abt_morl	abt_fact	NaN	NaN	NaN	0.72527973599972	50	50	50
1	1	13	098	067	You should try to share a hobby with close friends.	prf	poscon	83.675819086	0.527903505000722	abt_pref	abt_morl	abt_fact	NaN	NaN	NaN	0.763039535000644	50	50	50
1	1	14	034	076	Teachers should visit their students' houses regularly.	prf	nocon	85.5100439109992	0.527500006999617	abt_pref	abt_morl	abt_fact	NaN	NaN	NaN	0.846649357999922	50	50	50
